name,href,location,active_years,description
Balraj Bakshi,https://www.rekhta.org/poets/balraj-bakshi,,,
Balraj Hairat,https://www.rekhta.org/poets/balraj-hairat,,1930 -1995,
Balraj Hayat,https://www.rekhta.org/poets/balraj-hayat,,,
Balraj Komal,https://www.rekhta.org/poets/balraj-komal,Delhi,1928 -2013,"One of the leading modern poets and short story writer, who made outstanding contribution to modern Urdu Nazm in India."
Balraj Kumar,https://www.rekhta.org/poets/balraj-kumar,,,
Balraj Menra,https://www.rekhta.org/authors/balraj-menra,Delhi,1935 -2016,"Most prominent modernist fiction writer, celebrated for his symbolic stories; also the compiler of journal 'Shuoor'."
Captain Alexander Hederly Azad,https://www.rekhta.org/poets/captain-alexander-hederly-azad,,1829 -1861,European poet of the classical period whose father adopted the Indian way of life. Published a divan containing ghazls and poems in other poetical genres
Captain Damingo Paul Lizwa,https://www.rekhta.org/poets/captain-damingo-paul-lizwa,,1838 -1903,
Captain Syed Fayyaz Mahmood,https://www.rekhta.org/authors/captain-syed-fayyaz-mahmood,Pakistan,1906 -1994,
Chakbast Brij Narayan,https://www.rekhta.org/poets/chakbast-brij-narayan,Lucknow,1882 -1926,Leading early 20th century poet. Famous for his Nazm on Ramayan. Wrote oft-quoted sher 'Zindagi kya hai anasir men zahur-e-tartib…'.
Chaman Bhatnagar,https://www.rekhta.org/poets/chaman-bhatnagar,,1925,
Chaman Lal Chaman,https://www.rekhta.org/poets/chaman-lal-chaman,London,1934 -2019,"Poet, lyricist and radio broadcaster; wrote poetry in Urdu and Punjabi. His lyrics were sung by celebrated singers like Asha Bhonsle and Jagjit Singh"
Chaman Sitapuri,https://www.rekhta.org/poets/chaman-sitapuri,,,
Chand Akbarabadi,https://www.rekhta.org/poets/chand-akbarabadi,Agra,1975,
Chand Kakralvi,https://www.rekhta.org/poets/chand-kakralvi,,1979,
Chandar Bhan Kaifi Dehelvi,https://www.rekhta.org/poets/chandar-bhan-kaifi-dehelvi,Delhi,1878/79 -1941,Well-known for his poems on interesting topics; also wrote patriotic poems. Taught Persian for a long period of time
Chander Wahid,https://www.rekhta.org/poets/chander-wahid,Delhi,1958,
Chandni Pandey,https://www.rekhta.org/poets/chandni-pandey,Kanpur,1974,
Chandra Parkash Jauhar Bijnauri,https://www.rekhta.org/poets/chandra-parkash-jauhar-bijnauri,Lahore,1923 -1995,"A poet of traditional style, popular in Mushairas"
Chandra Parkash Shad,https://www.rekhta.org/poets/chandra-parkash-shad,,,One of the prominent modern poets
Chandra Shekhar Varma,https://www.rekhta.org/poets/chandra-shekhar-varma,Lucknow,1967,
Chandrabhan Khayal,https://www.rekhta.org/poets/chandrabhan-khayal,Delhi,1946,Well-known nazm poet
Chandrakant Bakshi,https://www.rekhta.org/authors/chandrakant-bakshi,,1932 -2006,
Chandrashekhar Pandey Shams,https://www.rekhta.org/poets/chandrashekhar-pandey-shams,,1984,
Chandu Lal Bahadur Shadan,https://www.rekhta.org/poets/chandu-lal-bahadur-shadan,Hyderabad,1763 -1845,
Charagh Barelvi,https://www.rekhta.org/poets/charagh-barelvi,Bareilly,1988,
Charagh Sharma,https://www.rekhta.org/poets/charagh-sharma,Chandausi,1998,
Charan Singh Bashar,https://www.rekhta.org/poets/charan-singh-bashar,Lucknow,1957,
Charkh Chinioti,https://www.rekhta.org/poets/charkh-chinioti,,,Famous for his nazms and ghazals of romantic nature; influenced by Akhtar Sheerani
Charles Bukowski,https://www.rekhta.org/poets/charles-bukowski,,1920 -1994,"American poet, novelist, and short story writer"
Chashma Farooqi,https://www.rekhta.org/authors/chashma-farooqi,Delhi,,
Chaudhari Mohammad Ali Rudaulvi,https://www.rekhta.org/authors/chaudhari-mohammad-ali-rudaulvi,Rudauli,1882 -1959,
Chaudhary Kalka Prashad Ijad Biswani,https://www.rekhta.org/poets/chaudhary-kalka-prashad-ijad-biswani,,,
Chaudhary Mohammad Naeem,https://www.rekhta.org/authors/chaudhary-mohammad-naeem,USA,1936,Prominent scholar and literary critic who writes both in Urdu and English living in U.S.A
Chaudhary Sher Jung,https://www.rekhta.org/authors/chaudhary-sher-jung,,,
Chetan Panchal,https://www.rekhta.org/poets/chetan-panchal,Gujarat,1992,
Chhabi Saksena Sahai Saba,https://www.rekhta.org/poets/chhabi-saksena-sahai-saba,UAE,,
Chiragh Hasan Hasrat,https://www.rekhta.org/authors/chiragh-hasan-hasrat,Lahore,1904 -1955,A poet and Journalist. Famous especially for his humorous columns.
Chiraguddin Charagh,https://www.rekhta.org/poets/chiraguddin-charagh,Burhanpur,,
Chirikof,https://www.rekhta.org/poets/chirikof,,,
Chitra Bhardwaj suman,https://www.rekhta.org/poets/chitra-bhardwaj-suman,Jaipur,1986,
Chitransh Khare,https://www.rekhta.org/poets/chitransh-khare,Bhopal,1989,
Chonch Gayawi,https://www.rekhta.org/poets/chonch-gayawi,Gaya,1967,
Chunchal Sialkoti,https://www.rekhta.org/poets/chunchal-sialkoti,Sialkot,,One of the important poets of humour to emerge during the 60s
Chunni Lal Madiya,https://www.rekhta.org/authors/chunni-lal-madiya,,,
Col. Mohammad Khan,https://www.rekhta.org/authors/col-mohammad-khan,Lahore,1910 -1999,One of the most prominent writers of humour and satire in pakistan.
D K Kanwal,https://www.rekhta.org/authors/d-k-kanwal,,,
D. Raj Kanwal,https://www.rekhta.org/poets/d-raj-kanwal,,1923,
Daem Gawwasi,https://www.rekhta.org/poets/daem-gawwasi,,,
Dagh Dehlvi,https://www.rekhta.org/poets/dagh-dehlvi,Delhi,1831 -1905,Last of classical poets who celebrated life and love. Famous for  his playfulness of words (idioms/ phrases).
dagh Niyazi,https://www.rekhta.org/poets/dagh-niyazi-1,,1954,
Dakhlan Bhopali,https://www.rekhta.org/poets/dakhlan-bhopali,Bhopal,1973,
Damodar Thakur Zaki,https://www.rekhta.org/poets/damodar-thakur-zaki,,,One of the important poets from Gulbarga; worked tirelessly for the cause of Urdu
Danish Aligarhi,https://www.rekhta.org/poets/danish-aligarhi,Aligarh,1931,
Danish Amiri,https://www.rekhta.org/poets/danish-amiri,,,
Danish Asari,https://www.rekhta.org/poets/danish-asari,Maunath Bhanjan,1991,
Danish Aziz,https://www.rekhta.org/poets/danish-aziz,Lahore,1970,
Danish Ejaz,https://www.rekhta.org/poets/danish-ejaz,,,
Danish Farahi,https://www.rekhta.org/poets/danish-farahi,Azamgarh,1949 -2023,
Danish Farazi,https://www.rekhta.org/poets/danish-farazi,,1924 -1980,"One of the important poets from Tamil Nadu, known for his qitaat"
Danish Hayat,https://www.rekhta.org/poets/danish-hayat,Karachi,1994,
Danish Naqwi,https://www.rekhta.org/poets/danish-naqwi,,1995,
Danish Nazeer Dani,https://www.rekhta.org/poets/danish-nazeer-dani,,,
Daniyal Tareer,https://www.rekhta.org/poets/daniyal-tareer,Quetta,1980 -2015,One of the prominent young poets from Pakistan; died early of a deadly disease
Daniyal Zaman,https://www.rekhta.org/poets/daniyal-zaman,Khushab,1996,
Daood Kaashmiri,https://www.rekhta.org/poets/daood-kaashmiri,,,
Daood Mohsin,https://www.rekhta.org/authors/daood-mohsin,Davanagere,1962,One of the contemporary short story writers
Dard Asadi,https://www.rekhta.org/poets/dard-asadi,,1919 -1990,
Dard Faiz Khan,https://www.rekhta.org/poets/dard-faiz-khan,Lucknow,2003,
Dard Saeedi,https://www.rekhta.org/poets/dard-saeedi,,,"A poet from Tonk estate, migrated to Pakistan following the Partition; published a collection called Shola-e-Jaan"
Dard Sironji,https://www.rekhta.org/authors/dard-sironji,Sironj,,
Darshan Dayal Parwaz,https://www.rekhta.org/authors/darshan-dayal-parwaz,Jalandhar,1935,
Darshan Singh,https://www.rekhta.org/poets/darshan-singh,,1921 -1989,Known for his poetry of mystical and spiritual leanings; wrote poems on major religious and spiritual characters
Darshika wasani,https://www.rekhta.org/poets/darshika-wasani,Mumbai,1986,
darvesh bharti,https://www.rekhta.org/poets/darvesh-bharti,Delhi,1937,
Datatiri Rao,https://www.rekhta.org/poets/datatiri-rao,,,
Dattatriya Kaifi,https://www.rekhta.org/poets/dattatriya-kaifi,Delhi,1866 -1955,"Prominent scholar of Arabic, Persian and Sanskrit"
Daud Ghazi,https://www.rekhta.org/poets/daud-ghazi,Ratnagiri,1932 -1963,"A poet influenced by progressive thoughts, committed suicide at an early age"
Daud Naseeb,https://www.rekhta.org/authors/daud-naseeb,,,
Daud Nishat,https://www.rekhta.org/authors/daud-nishat,Kadapa,1929 -1992,
Daulat Aasiri,https://www.rekhta.org/poets/daulat-aasiri,,-1795,
Daulat Ram Sabir Panipati,https://www.rekhta.org/authors/daulat-ram-sabir-panipati,Panipat,-1961,
Daur Afridi,https://www.rekhta.org/poets/daur-afridi,Rampur,1930 -1992,One of the romantic poets; also published a collection of romantic poems called Roomaniyaat
Davarka Das Shola,https://www.rekhta.org/poets/davarka-das-shola,Delhi,1910 -1983,
Dawood Kashmiri,https://www.rekhta.org/authors/dawood-kashmiri,Mumbai,,
Dawood Khan Raaz,https://www.rekhta.org/poets/dawood-khan-raaz,,1934,
Dawood Rizwan,https://www.rekhta.org/poets/dawood-rizwan,Pakistan,,An important nazm poet from Pakistan
Deeba Salam,https://www.rekhta.org/poets/deeba-salam,Allahabd,1981,
Deedar Akbarpuri,https://www.rekhta.org/poets/deedar-akbarpuri,Iran,1996,
Deedar Bastawi,https://www.rekhta.org/authors/deedar-bastawi,Basti,,
Deepak Budki,https://www.rekhta.org/authors/deepak-budki,Jammu and Kashmir,1950,Noted story writer known for his stories on contemporary and psychological issues; also wrote critical pieces on the present state of fiction.
Deepak Danish,https://www.rekhta.org/poets/deepak-danish,,1962,
Deepak Jain Deep,https://www.rekhta.org/poets/deepak-jain-deep,Guna,1961,
Deepak Kamil,https://www.rekhta.org/poets/deepak-kamil,Rajasthan,1998,
Deepak Kanwal,https://www.rekhta.org/authors/deepak-kanwal,,,
Deepak Purohit,https://www.rekhta.org/poets/deepak-purohit,Jaipur,1954,
Ehqar Jhanswi,https://www.rekhta.org/poets/ehqar-jhanswi,Jhansi,1880 -1959,
Ehsaan Ghaman,https://www.rekhta.org/poets/ehsaan-ghaman,Gujrat,1981,
Ehsaan Sabz,https://www.rekhta.org/poets/ehsaan-sabz,Karachi,,
Ehsan Akbar,https://www.rekhta.org/poets/ehsan-akbar,Pakistan,1938,
Ehsan Akhtar Ghazipuri,https://www.rekhta.org/authors/ehsan-akhtar-ghazipuri,,,
Ehsan Ali Khan,https://www.rekhta.org/poets/ehsan-ali-khan,Islamabad,1922 -1991,
Ehsan Asghar,https://www.rekhta.org/poets/ehsan-asghar,Lahore,,
Ehsan Danish,https://www.rekhta.org/poets/ehsan-danish,Lahore,1914 -1982,"One of the most popular poets in the fourth and fifth decades of 20th century, contemporary of Faiz Ahmad Faiz."
Ehsan Darbhangavi,https://www.rekhta.org/poets/ehsan-darbhangavi,Bihar,1922 -1998,A prominent Progressive poet
Ehsan Jafri,https://www.rekhta.org/poets/ehsan-jafri,Ahmedabad,1929 -2002,
Ehsan Nanparwi,https://www.rekhta.org/authors/ehsan-nanparwi,,-2010,
Ehsan Razaa,https://www.rekhta.org/poets/ehsan-razaa,,,
Ehsan Saqib,https://www.rekhta.org/poets/ehsan-saqib,,1943,
Ehsan Sehgal,https://www.rekhta.org/authors/ehsan-sehgal,,,
Ehsanul Haq Mazhar,https://www.rekhta.org/poets/ehsanul-haq-mazhar,,,
Ehsas Gayawi,https://www.rekhta.org/poets/ehsas-gayawi,Gaya,,
Ehsas magahri,https://www.rekhta.org/poets/ehsas-magahri,,,
Ehsas Muradabadi,https://www.rekhta.org/poets/ehsas-muradabadi,,,
Ehteram Islam,https://www.rekhta.org/poets/ehteram-islam,Allahabad,1949,
Ehtisham Akhtar,https://www.rekhta.org/poets/ehtisham-akhtar,Kota,1944,
Ehtisham Ali,https://www.rekhta.org/authors/ehtisham-ali,,1983,
Ehtisham Bachhrayuni,https://www.rekhta.org/authors/ehtisham-bachhrayuni,Moradabad,1939,
Ehtisham Hasan,https://www.rekhta.org/poets/ehtisham-hasan,Bahawalpur,1969,
Ehtisham ul Haq Siddiqui,https://www.rekhta.org/poets/ehtisham-ul-haq-siddiqui,Muzaffarnagar,,
Ehya Bhojpuri,https://www.rekhta.org/poets/ehya-bhojpuri,Dubai,1977,
Ejaaz Ahamd,https://www.rekhta.org/poets/ejaaz-ahamd,,1932,
Ejaaz Talib,https://www.rekhta.org/poets/ejaaz-talib,,,
